,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
673,4515,C,AGUDELO,Fiorentina,13,5.85,5.9,1,0,0,0,0,0,0,0,3,1,0
680,4522,C,AMRABAT,Verona,34,6.29,6.21,0,0,0,1,1,0,1,0,10,2,0
682,4524,C,SEMA,Udinese,32,5.95,6.08,2,0,0,0,0,0,1,0,6,0,0
689,4725,C,DEMME,Napoli,15,5.93,5.93,1,0,0,0,0,0,0,0,6,0,0
694,4868,C,TUNJOV,SPAL,10,5.6,5.6,0,0,0,0,0,0,0,0,0,0,0
695,4869,C,DOMINGUEZ,Bologna,16,5.87,5.9,0,0,0,0,0,0,1,0,1,0,0
696,4870,C,ADOPO,Torino,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
699,4880,C,BJARNASON,Brescia,13,5.65,5.62,0,0,0,0,0,0,0,0,1,0,0
701,4882,C,ERIKSSON,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
704,4885,C,VILLAR,Roma,9,5.75,5.58,0,0,0,0,0,0,0,0,3,0,0
705,4886,C,PEREIRO,Cagliari,10,5.75,5.94,1,0,0,0,0,0,0,0,3,0,0
709,4890,C,TAMEZE,Atalanta,7,6.17,6.17,0,0,0,0,0,0,0,0,0,0,0
711,4892,C,SAELEMAEKERS,Milan,13,6.0,6.08,1,0,0,0,0,0,0,0,2,1,0
714,4896,C,MALDINI,Milan,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
717,4900,C,PALACIOS,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
719,4919,C,BALDURSSON,Bologna,7,5.83,5.83,0,0,0,0,0,0,0,0,0,0,0
721,4921,C,ASKILDSEN,Sampdoria,4,6.0,6.67,1,0,0,0,0,0,0,0,0,1,0
724,4926,C,MURATORE,Juventus,4,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
725,4927,C,GHEZZI,Brescia,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
728,4930,C,GHION,Sassuolo,3,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
730,4932,C,BALLARINI,Udinese,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
731,4933,C,RUFFO LUCI,Bologna,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
733,4935,C,LADINETTI,Cagliari,3,6.33,6.33,0,0,0,0,0,0,0,0,0,0,0
739,4941,C,MARIGOSU,Cagliari,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
741,4943,C,HORVATH,SPAL,3,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
745,4947,C,BRESCIANINI,Milan,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
747,4949,C,DA RIVA,Atalanta,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
